,Date,TA-pobór,TA-generacja,pv,Heating,HotWater,ProducedHeating,ProducedHotWater,CoP,year,month,day
0,2020-10-01,54.584,1.133,2.89,0.0,0.0,0.0,0.0,0.0,2020,10,1
1,2020-10-02,37.419,14.246,16.49,0.0,0.0,0.0,0.0,0.0,2020,10,2
2,2020-10-03,12.053,35.169,40.3,0.0,0.0,0.0,0.0,0.0,2020,10,3
3,2020-10-04,9.005,17.717,20.69,0.0,0.0,0.0,0.0,0.0,2020,10,4
4,2020-10-05,11.902,21.921,23.26,0.0,0.0,0.0,0.0,0.0,2020,10,5
5,2020-10-06,7.859,28.37,29.69,0.0,0.0,0.0,0.0,0.0,2020,10,6
6,2020-10-07,10.285,14.767,17.0,0.0,0.0,0.0,0.0,0.0,2020,10,7
7,2020-10-08,9.754,27.394,28.87,0.0,0.0,0.0,0.0,0.0,2020,10,8
8,2020-10-09,7.819,3.899,5.02,0.0,0.0,0.0,0.0,0.0,2020,10,9
9,2020-10-10,40.191,16.084,17.64,0.0,0.0,0.0,0.0,0.0,2020,10,10
10,2020-10-11,8.441,17.8,21.13,0.0,0.0,0.0,0.0,0.0,2020,10,11
11,2020-10-12,43.78,6.062,7.54,0.0,0.0,0.0,0.0,0.0,2020,10,12
12,2020-10-13,38.834,3.316,4.08,0.0,0.0,0.0,0.0,0.0,2020,10,13
13,2020-10-14,52.821,3.411,4.84,0.0,0.0,0.0,0.0,0.0,2020,10,14
14,2020-10-15,15.228,8.44,13.04,0.0,0.0,0.0,0.0,0.0,2020,10,15
15,2020-10-16,35.517,10.36,12.05,0.0,0.0,0.0,0.0,0.0,2020,10,16
16,2020-10-17,31.26,0.0,2.21,0.0,0.0,0.0,0.0,0.0,2020,10,17
17,2020-10-18,25.067,2.739,9.69,0.0,0.0,0.0,0.0,0.0,2020,10,18
18,2020-10-19,21.591,11.729,18.58,0.0,0.0,0.0,0.0,0.0,2020,10,19
19,2020-10-20,19.871,24.317,33.33,0.0,0.0,0.0,0.0,0.0,2020,10,20
20,2020-10-21,21.757,10.68,12.81,0.0,0.0,0.0,0.0,0.0,2020,10,21
21,2020-10-22,11.563,21.112,23.03,0.0,0.0,0.0,0.0,0.0,2020,10,22
22,2020-10-23,11.175,10.319,12.23,145.6,22.574,558.11,49.61,2.825035561877667,2020,10,23
23,2020-10-24,19.287,12.014,18.36,12.48,4.09,43.28,10.28,3.232347616173808,2020,10,24
24,2020-10-25,22.657,29.847,33.8,19.07,2.87,40.88,5.91,2.132634457611668,2020,10,25
25,2020-10-26,14.229,18.573,20.51,8.5,2.5,20.87,5.65,2.410909090909091,2020,10,26
26,2020-10-27,15.618,2.196,3.64,8.53,2.09,21.69,4.58,2.473634651600753,2020,10,27
27,2020-10-28,21.97,25.949,30.59,15.86,2.15,42.87,4.62,2.636868406440866,2020,10,28
28,2020-10-29,13.915,5.223,6.71,10.17,1.08,27.03,2.33,2.609777777777778,2020,10,29
29,2020-10-30,11.738,0.428,2.41,0.0,0.0,0.0,0.0,0.0,2020,10,30
30,2020-10-31,17.188,3.464,9.78,20.32,4.44,52.9,9.84,2.533925686591276,2020,10,31
31,2021-10-01,8.568,42.155,50.74,6.95,2.75,20.8,5.96,2.758762886597939,2021,10,1
32,2021-10-02,10.941,35.568,43.25,6.84,3.6,19.13,8.189,2.61676245210728,2021,10,2
33,2021-10-03,5.471,43.248,48.92,1.34,2.46,0.0,5.78,1.521052631578947,2021,10,3
34,2021-10-04,7.205,39.324,44.47,1.44,2.32,0.0,5.72,1.521276595744681,2021,10,4
35,2021-10-05,6.172,38.913,44.15,1.27,3.02,0.0,7.18,1.673659673659674,2021,10,5
36,2021-10-06,10.043,4.05,5.9,1.2,3.14,0.0,7.3,1.682027649769585,2021,10,6
